Entidad,Habitantes2015
México,16187608
Ciudad de México,8918653
Veracruz de Ignacio de la Llave,8112505
Jalisco,7844830
Puebla,6168883
Guanajuato,5853677
Chiapas,5217908
Nuevo León,5119504
Michoacán de Ocampo,4584471
Oaxaca,3967889
Chihuahua,3556574
Guerrero,3533251
Tamaulipas,3441698
Baja California,3315766
Sinaloa,2966321
Coahuila de Zaragoza,2954915
Hidalgo,2858359
Sonora,2850330
San Luis Potosí,2717820
Tabasco,2395272
Yucatán,2097175
Querétaro,2038372
Morelos,1903811
Durango,1754754
Zacatecas,1579209
Quintana Roo,1501562
Aguascalientes,1312544
Tlaxcala,1272847
Nayarit,1181050
Campeche,899931
Baja California Sur,712029
Colima,711235
